GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BMI Calculator,com.lab.bmi,BmiCategory,3,39,0,0,1,8,1,2,1,2
BMI Calculator,com.lab.bmi,BmiCalculator,7,64,0,12,1,13,1,9,1,3
